DATE,REEF,SITE,RESEARCH_SITE,BLEACHING_SURFACE_1,BLEACHING_POPULATION_1,DAMAGE_ANCHOR_1,DAMAGE_DYNAMITE_1,DAMAGE_OTHER_1,DISEASE_COLONIES_1,DISEASE_POPULATION_1,SCARS_COTS_1,SCARS_DRUPELLA_1,SCARS_UNKNOWN_1,FISHINGLINE_1,TRASH_FISHNETS_1,TRASH_GENERAL_1,RARE_ANIMALS_1,BLEACHING_SURFACE_2,BLEACHING_POPULATION_2,DAMAGE_ANCHOR_2,DAMAGE_DYNAMITE_2,DAMAGE_OTHER_2,DISEASE_COLONIES_2,DISEASE_POPULATION_2,SCARS_COTS_2,SCARS_DRUPELLA_2,SCARS_UNKNOWN_2,FISHINGLINE_2,TRASH_FISHNETS_2,TRASH_GENERAL_2,RARE_ANIMALS_2,BLEACHING_SURFACE_3,BLEACHING_POPULATION_3,DAMAGE_ANCHOR_3,DAMAGE_DYNAMITE_3,DAMAGE_OTHER_3,DISEASE_COLONIES_3,DISEASE_POPULATION_3,SCARS_COTS_3,SCARS_DRUPELLA_3,SCARS_UNKNOWN_3,FISHINGLINE_3,TRASH_FISHNETS_3,TRASH_GENERAL_3,RARE_ANIMALS_3,BLEACHING_SURFACE_4,BLEACHING_POPULATION_4,DAMAGE_ANCHOR_4,DAMAGE_DYNAMITE_4,DAMAGE_OTHER_4,DISEASE_COLONIES_4,DISEASE_POPULATION_4,SCARS_COTS_4,SCARS_DRUPELLA_4,SCARS_UNKNOWN_4,FISHINGLINE_4,TRASH_FISHNETS_4,TRASH_GENERAL_4,RARE_ANIMALS_4
9/03/2019 11:17,Currimundi Reef,Currimundi Reef,1,50,1,0,0,0,0,0,0,1,0,0,0,0,0,33,1,0,0,0,0,0,0,1,0,0,0,0,0,54,1,0,0,0,0,0,0,0,0,0,0,0,0,54,1,0,0,0,1,0,0,0,0,0,0,0,0
8/01/2012 8:30,Currimundi Reef,Currimundi Reef,1,29,5,0,0,1,0,0,0,0,1,0,0,0,0,25,10,0,0,0,0,0,0,0,2,0,0,0,0,30,10,0,0,0,0,0,0,0,0,0,0,0,0,41,15,0,0,0,1,0,0,0,0,0,0,0,0
28/01/2017 9:30,Currimundi Reef,Currimundi Reef,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,75,1,0,0,0,0,0,0,0,2,0,0,0,0
6/01/2018 8:45,Currimundi Reef,Currimundi Reef,1,49,10,0,0,0,0,0,0,0,3,0,0,0,0,77,10,0,0,0,0,0,0,0,2,0,0,0,0,35,2,0,0,0,0,0,0,0,2,0,0,0,0,81,5,0,0,0,0,0,0,0,5,0,0,0,0
8/12/2012 0:00,Currimundi Reef,Currimundi Reef,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0
8/02/2014 9:09,Currimundi Reef,Currimundi Reef,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7/05/2016 10:30,Currimundi Reef,Currimundi Reef,2,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
20/12/2009 0:00,Currimundi Reef,Currimundi Reef,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6/01/2018 11:00,Currimundi Reef,Currimundi Reef,2,58,5,0,0,0,0,0,0,0,2,0,0,0,0,58,5,0,0,0,0,0,0,0,0,0,0,0,0,41,5,0,0,0,0,0,0,0,0,0,0,0,0,35,5,0,0,0,0,0,0,0,1,0,0,0,0
8/01/2012 10:30,Currimundi Reef,Currimundi Reef,2,54,5,0,0,0,1,0,0,0,1,1,0,0,0,43,10,0,0,1,1,0,0,0,1,0,0,1,0,45,5,0,0,0,1,0,0,0,0,0,0,0,0,52,5,0,0,0,2,0,0,0,1,0,0,0,0
